rank,call_freq,name,type,layer,nelisp_coverage
317,107,window-system,fn,substrate/ui,MISSING
318,106,previous-single-property-change,fn,substrate/ui,MISSING
319,106,plist-member,fn,runtime,source-unbootstrapped
320,102,modify-category-entry,fn,substrate/ui,MISSING
321,102,copy-file,fn,runtime,MISSING
322,100,substring-no-properties,fn,runtime,MISSING
323,99,truncate,fn,runtime,MISSING
324,99,set-syntax-table,fn,substrate/ui,MISSING
325,97,read-from-string,fn,runtime,source-unbootstrapped
326,96,window-minibuffer-p,fn,substrate/ui,MISSING
327,96,set-window-point,fn,substrate/ui,MISSING
328,96,overlays-in,fn,substrate/ui,MISSING
329,96,make-list,fn,runtime,source-unbootstrapped
330,93,rassoc,fn,runtime,MISSING
331,93,minibuffer-window,fn,substrate/ui,MISSING
332,93,current-local-map,fn,runtime,MISSING
333,93,characterp,fn,runtime,MISSING
334,92,text-property-any,fn,substrate/ui,MISSING
335,92,mapatoms,fn,runtime,MISSING
336,92,file-regular-p,fn,runtime,source-unbootstrapped
337,91,mapcan,fn,runtime,MISSING
338,90,set-window-configuration,fn,substrate/ui,MISSING
339,89,file-symlink-p,fn,runtime,MISSING
340,88,current-window-configuration,fn,substrate/ui,MISSING
341,87,terpri,fn,runtime,source-unbootstrapped
342,86,all-completions,fn,runtime,MISSING
343,85,read-event,fn,substrate/ui,MISSING
344,84,time-subtract,fn,runtime,MISSING
345,84,processp,fn,runtime,MISSING
346,84,expt,fn,runtime,MISSING
347,83,try-completion,fn,runtime,MISSING
348,83,string-lessp,fn,runtime,source-unbootstrapped
349,83,set-match-data,fn,substrate/ui,MISSING
350,83,add-face-text-property,fn,substrate/ui,MISSING
351,82,insert-and-inherit,fn,substrate/ui,MISSING
352,81,scroll-up,fn,substrate/ui,MISSING
353,81,defvaralias,fn,runtime,MISSING
354,80,set-process-sentinel,fn,substrate/ui,MISSING
355,79,set-process-filter,fn,substrate/ui,MISSING
356,79,match-data,fn,substrate/ui,MISSING
357,79,current-time-string,fn,runtime,MISSING
358,78,treesit-node-end,fn,substrate/ui,MISSING
359,77,insert-before-markers,fn,substrate/ui,MISSING
360,77,decode-time,fn,runtime,MISSING
361,76,substitute-in-file-name,fn,runtime,MISSING
362,76,minibuffer-prompt-end,fn,substrate/ui,MISSING
363,74,treesit-node-parent,fn,substrate/ui,MISSING
364,74,set-window-parameter,fn,substrate/ui,MISSING
365,74,set-window-dedicated-p,fn,substrate/ui,MISSING
366,74,set-file-modes,fn,runtime,source-unbootstrapped
367,73,frame-root-window,fn,substrate/ui,MISSING
368,72,frame-list,fn,substrate/ui,MISSING
369,71,time-convert,fn,runtime,MISSING
370,71,this-command-keys,fn,substrate/ui,MISSING
371,71,syntax-table,fn,substrate/ui,MISSING
372,71,overlay-buffer,fn,substrate/ui,MISSING
373,71,font-spec,fn,runtime,MISSING
374,70,subst-char-in-region,fn,substrate/ui,MISSING
375,70,overlays-at,fn,substrate/ui,MISSING
376,69,frame-char-width,fn,substrate/ui,MISSING
377,69,copy-keymap,fn,substrate/ui,MISSING
378,68,sleep-for,fn,runtime,MISSING
379,68,log,fn,runtime,MISSING
380,68,file-accessible-directory-p,fn,runtime,MISSING
381,67,coding-system-base,fn,substrate/ui,MISSING
382,67,barf-if-buffer-read-only,fn,substrate/ui,MISSING
383,66,hash-table-p,fn,runtime,source-unbootstrapped
384,65,vertical-motion,fn,runtime,MISSING
385,65,pos-bol,fn,runtime,MISSING
386,65,map-charset-chars,fn,runtime,MISSING
387,64,window-dedicated-p,fn,substrate/ui,MISSING
388,64,text-property-not-all,fn,substrate/ui,MISSING
389,64,text-properties-at,fn,substrate/ui,MISSING
390,63,window-point,fn,substrate/ui,MISSING
391,62,make-keymap,fn,substrate/ui,MISSING
392,62,commandp,fn,substrate/ui,MISSING
393,61,inline,special,runtime,MISSING
394,61,ceiling,fn,runtime,source-unbootstrapped
395,60,windowp,fn,substrate/ui,MISSING
396,60,scroll-down,fn,substrate/ui,MISSING
397,60,file-newer-than-file-p,fn,runtime,MISSING
398,60,encode-time,fn,runtime,MISSING
399,59,read-buffer,fn,substrate/ui,MISSING
400,59,input-pending-p,fn,substrate/ui,MISSING
401,59,current-global-map,fn,runtime,MISSING
402,58,system-name,fn,runtime,source-unbootstrapped
403,58,indirect-function,fn,runtime,MISSING
404,55,terminal-parameter,fn,runtime,MISSING
405,55,file-modes,fn,runtime,MISSING
406,55,clrhash,fn,runtime,source-unbootstrapped
407,54,where-is-internal,fn,runtime,MISSING
408,54,define-category,fn,substrate/ui,MISSING
409,53,process-name,fn,substrate/ui,MISSING
410,53,kill-all-local-variables,fn,substrate/ui,MISSING
411,53,frame-parameters,fn,substrate/ui,MISSING
412,53,frame-char-height,fn,substrate/ui,MISSING
413,53,buffer-chars-modified-tick,fn,substrate/ui,MISSING
414,52,window-hscroll,fn,substrate/ui,MISSING
415,52,raise-frame,fn,substrate/ui,MISSING
416,51,treesit-node-child,fn,substrate/ui,MISSING
417,51,forward-word,fn,substrate/ui,MISSING
418,51,coding-system-p,fn,substrate/ui,MISSING
419,50,sqrt,fn,runtime,MISSING
420,50,file-name-all-completions,fn,runtime,MISSING
421,49,treesit-node-child-by-field-name,fn,substrate/ui,MISSING
422,49,print,fn,runtime,source-unbootstrapped
423,49,mark-marker,fn,substrate/ui,MISSING
424,49,make-char-table,fn,runtime,MISSING
425,48,verify-visited-file-modtime,fn,runtime,MISSING
426,48,scan-lists,fn,runtime,MISSING
427,48,record,fn,runtime,MISSING
428,48,next-single-char-property-change,fn,runtime,MISSING
429,48,multibyte-string-p,fn,runtime,source-unbootstrapped
430,48,minibufferp,fn,substrate/ui,MISSING
431,48,file-executable-p,fn,runtime,MISSING
432,48,current-message,fn,runtime,MISSING
433,47,user-full-name,fn,runtime,MISSING
434,47,make-process,fn,runtime,MISSING
435,47,invisible-p,fn,runtime,MISSING
436,47,identity,fn,runtime,source-unbootstrapped
437,47,floatp,fn,runtime,source-unbootstrapped
438,47,find-file-name-handler,fn,runtime,MISSING
439,46,set-marker-insertion-type,fn,substrate/ui,MISSING
440,46,framep,fn,substrate/ui,MISSING
441,46,delete-frame,fn,substrate/ui,MISSING
442,46,copy-syntax-table,fn,substrate/ui,MISSING
443,45,restore-buffer-modified-p,fn,substrate/ui,MISSING
444,45,hash-table-count,fn,runtime,source-unbootstrapped
445,44,time-add,fn,runtime,MISSING
446,43,window-end,fn,substrate/ui,MISSING
447,43,get-process,fn,runtime,MISSING
448,42,treesit-parser-create,fn,substrate/ui,MISSING
449,42,read-char-exclusive,fn,runtime,MISSING
450,42,pos-eol,fn,runtime,MISSING
451,42,next-window,fn,substrate/ui,MISSING
452,42,move-to-window-line,fn,substrate/ui,MISSING
453,42,avl-tree--node-branch,fn,runtime,MISSING
454,41,set-visited-file-modtime,fn,runtime,MISSING
455,41,make-symbolic-link,fn,runtime,MISSING
456,41,decode-coding-region,fn,substrate/ui,MISSING
457,41,copy-alist,fn,runtime,MISSING
458,40,set-process-query-on-exit-flag,fn,substrate/ui,MISSING
459,40,minibuffer-depth,fn,substrate/ui,MISSING
460,39,wholenump,fn,runtime,MISSING
461,39,point-max-marker,fn,substrate/ui,MISSING
462,39,compare-strings,fn,runtime,source-unbootstrapped
463,38,time-equal-p,fn,runtime,MISSING
464,38,scan-sexps,fn,runtime,MISSING
465,38,process-exit-status,fn,substrate/ui,MISSING
466,38,macroexpand,fn,runtime,source-unbootstrapped
467,38,directory-name-p,fn,runtime,MISSING
468,38,base64-encode-string,fn,runtime,MISSING
469,37,tramp-compat-string-search,fn,runtime,MISSING
470,37,other-buffer,fn,substrate/ui,MISSING
471,37,memql,fn,runtime,MISSING
472,37,kill-emacs,fn,runtime,MISSING
473,36,process-send-eof,fn,substrate/ui,MISSING
474,35,point-min-marker,fn,substrate/ui,MISSING
475,35,obarray-make,fn,runtime,MISSING
476,35,md5,fn,runtime,MISSING
477,35,length=,fn,runtime,MISSING
478,35,format-mode-line,fn,substrate/ui,MISSING
479,35,arrayp,fn,runtime,source-unbootstrapped
480,35,add-name-to-file,fn,runtime,MISSING
481,35,active-minibuffer-window,fn,substrate/ui,MISSING
482,34,x-popup-menu,fn,runtime,MISSING
483,34,undo-boundary,fn,runtime,MISSING
484,34,set-window-hscroll,fn,substrate/ui,MISSING
485,34,ngettext,fn,runtime,MISSING
486,34,image-size,fn,runtime,MISSING
487,34,frame-selected-window,fn,substrate/ui,MISSING
488,34,delete-and-extract-region,fn,substrate/ui,MISSING
489,33,window-parent,fn,substrate/ui,MISSING
490,33,standard-syntax-table,fn,substrate/ui,MISSING
491,33,set-char-table-extra-slot,fn,runtime,MISSING
492,33,number-or-marker-p,fn,substrate/ui,MISSING
493,33,make-temp-name,fn,runtime,MISSING
494,33,kill-process,fn,runtime,MISSING
495,33,indent-to-column,fn,substrate/ui,MISSING
496,33,coding-system-eol-type,fn,substrate/ui,MISSING
497,33,call-process-region,fn,substrate/ui,MISSING
498,32,remove-list-of-text-properties,fn,substrate/ui,MISSING
499,32,redisplay,fn,substrate/ui,MISSING
500,32,file-locked-p,fn,runtime,MISSING
501,32,cl-first,fn,runtime,MISSING
502,32,buffer-modified-tick,fn,substrate/ui,MISSING
503,31,single-key-description,fn,runtime,MISSING
504,31,set-default-toplevel-value,fn,runtime,MISSING
505,31,minibuffer-selected-window,fn,substrate/ui,MISSING
506,31,generate-new-buffer-name,fn,substrate/ui,MISSING
507,30,symbol-plist,fn,runtime,source-unbootstrapped
508,30,length>,fn,runtime,MISSING
509,30,file-name-case-insensitive-p,fn,runtime,MISSING
510,30,exit-recursive-edit,fn,runtime,MISSING
511,30,access-file,fn,runtime,MISSING
512,29,set-file-times,fn,runtime,MISSING
513,29,obarrayp,fn,runtime,MISSING
514,29,map-keymap,fn,substrate/ui,MISSING
